moneda,casa,nombre,compra,venta,fechaActualizacion,variacion,fecha_consulta
USD,cripto,Cripto,1571.8,1571.8,2026-08-04T16:00:00.000Z,0.11,2026-08-04T19:09:55.328605
USD,tarjeta,Tarjeta,1465.0,1969.5,2026-08-04T16:00:00.000Z,0.0,2026-08-04T19:09:55.328605
USD,bna,BNA,1465.0,1515.0,2026-08-04T16:00:00.000Z,0.0,2026-08-04T19:09:55.328605
USD,oficial,Oficial,1468.7,1520.0,2026-08-05T13:43:00.000Z,0.21,2026-08-05T18:12:02.258471
USD,blue,Blue,1520.0,1540.0,2026-08-05T15:00:00.000Z,-0.32,2026-08-05T18:12:02.258471
USD,bolsa,Bolsa,1520.56,1520.56,2026-08-05T15:00:00.000Z,0.0,2026-08-05T18:12:02.258471
USD,contadoconliqui,Contado con liquidación,1577.84,1577.84,2026-08-05T15:00:00.000Z,-0.4,2026-08-05T18:12:02.258471
USD,mayorista,Mayorista,1487.0,1496.0,2026-08-05T14:56:00.000Z,0.0,2026-08-05T18:12:02.258471
USD,cripto,Cripto,1571.09,1571.09,2026-08-05T15:00:00.000Z,0.1,2026-08-05T18:12:02.258471
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-05T15:00:00.000Z,0.33,2026-08-05T18:12:02.258471
USD,bna,BNA,1470.0,1520.0,2026-08-05T15:00:00.000Z,0.33,2026-08-05T18:12:02.258471
USD,oficial,Oficial,1469.31,1520.32,2026-08-07T11:41:00.000Z,0.14,2026-08-07T16:11:00.291584
USD,blue,Blue,1505.0,1525.0,2026-08-07T13:00:00.000Z,-0.33,2026-08-07T16:11:00.291584
USD,bolsa,Bolsa,1525.75,1525.75,2026-08-07T13:00:00.000Z,0.4,2026-08-07T16:11:00.291584
USD,contadoconliqui,Contado con liquidación,1583.65,1583.65,2026-08-07T13:00:00.000Z,1.6,2026-08-07T16:11:00.291584
USD,mayorista,Mayorista,1490.0,1499.0,2026-08-07T11:28:00.000Z,-0.03,2026-08-07T16:11:00.291584
USD,cripto,Cripto,1574.99,1574.99,2026-08-07T13:00:00.000Z,0.13,2026-08-07T16:11:00.291584
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-07T13:00:00.000Z,0.0,2026-08-07T16:11:00.291584
USD,bna,BNA,1470.0,1520.0,2026-08-07T13:00:00.000Z,0.0,2026-08-07T16:11:00.291584
USD,oficial,Oficial,1469.92,1521.28,2026-08-07T15:49:00.000Z,0.2,2026-08-08T14:52:42.860592
USD,blue,Blue,1505.0,1525.0,2026-08-07T18:55:00.000Z,-0.33,2026-08-08T14:52:42.860592
USD,bolsa,Bolsa,1524.77,1524.77,2026-08-07T19:55:00.000Z,0.3,2026-08-08T14:52:42.860592
USD,contadoconliqui,Contado con liquidación,1582.44,1582.44,2026-08-07T19:55:00.000Z,1.48,2026-08-08T14:52:42.860592
USD,mayorista,Mayorista,1489.5,1498.5,2026-08-07T15:52:00.000Z,-0.07,2026-08-08T14:52:42.860592
USD,cripto,Cripto,1567.76,1567.76,2026-08-08T09:00:00.000Z,0.01,2026-08-08T14:52:42.860592
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-07T18:55:00.000Z,0.0,2026-08-08T14:52:42.860592
USD,bna,BNA,1470.0,1520.0,2026-08-07T18:55:00.000Z,0.0,2026-08-08T14:52:42.860592
USD,oficial,Oficial,1469.92,1521.28,2026-08-07T15:49:00.000Z,0.2,2026-08-09T14:56:40.069790
USD,blue,Blue,1505.0,1525.0,2026-08-07T18:55:00.000Z,-0.33,2026-08-09T14:56:40.069790
USD,bolsa,Bolsa,1524.77,1524.77,2026-08-07T19:55:00.000Z,0.3,2026-08-09T14:56:40.069790
USD,contadoconliqui,Contado con liquidación,1582.44,1582.44,2026-08-07T19:55:00.000Z,1.48,2026-08-09T14:56:40.069790
USD,mayorista,Mayorista,1489.5,1498.5,2026-08-07T15:52:00.000Z,-0.07,2026-08-09T14:56:40.069790
USD,cripto,Cripto,1571.93,1571.93,2026-08-09T09:00:00.000Z,-0.11,2026-08-09T14:56:40.069790
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-07T18:55:00.000Z,0.0,2026-08-09T14:56:40.069790
USD,bna,BNA,1470.0,1520.0,2026-08-07T18:55:00.000Z,0.0,2026-08-09T14:56:40.069790
USD,oficial,Oficial,1469.9,1520.79,2026-08-10T11:45:00.000Z,-0.03,2026-08-10T16:11:13.554069
USD,blue,Blue,1515.0,1535.0,2026-08-10T13:00:00.000Z,0.66,2026-08-10T16:11:13.554069
USD,bolsa,Bolsa,1524.3,1524.3,2026-08-10T13:00:00.000Z,0.0,2026-08-10T16:11:13.554069
USD,contadoconliqui,Contado con liquidación,1582.34,1582.34,2026-08-10T13:00:00.000Z,0.0,2026-08-10T16:11:13.554069
USD,mayorista,Mayorista,1489.0,1498.0,2026-08-10T12:18:00.000Z,-0.1,2026-08-10T16:11:13.554069
USD,cripto,Cripto,1576.33,1576.33,2026-08-10T13:00:00.000Z,0.04,2026-08-10T16:11:13.554069
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-10T13:00:00.000Z,0.0,2026-08-10T16:11:13.554069
USD,bna,BNA,1470.0,1520.0,2026-08-10T13:00:00.000Z,0.0,2026-08-10T16:11:13.554069
USD,oficial,Oficial,1467.8,1519.04,2026-08-11T11:49:00.000Z,-0.1,2026-08-11T16:13:52.604518
USD,blue,Blue,1530.0,1550.0,2026-08-11T13:00:00.000Z,0.98,2026-08-11T16:13:52.604518
USD,bolsa,Bolsa,1523.03,1523.03,2026-08-11T13:00:00.000Z,-0.2,2026-08-11T16:13:52.604518
USD,contadoconliqui,Contado con liquidación,1588.36,1588.36,2026-08-11T13:00:00.000Z,0.2,2026-08-11T16:13:52.604518
USD,mayorista,Mayorista,1484.0,1493.0,2026-08-11T11:50:00.000Z,-0.2,2026-08-11T16:13:52.604518
USD,cripto,Cripto,1573.49,1573.49,2026-08-11T13:00:00.000Z,-0.06,2026-08-11T16:13:52.604518
USD,tarjeta,Tarjeta,1470.0,1976.0,2026-08-11T13:00:00.000Z,0.0,2026-08-11T16:13:52.604518
USD,bna,BNA,1470.0,1520.0,2026-08-11T13:00:00.000Z,0.0,2026-08-11T16:13:52.604518
USD,oficial,Oficial,1466.07,1517.14,2026-08-12T11:42:00.000Z,-0.05,2026-08-12T16:12:07.691458
USD,blue,Blue,1515.0,1535.0,2026-08-12T13:00:00.000Z,-0.97,2026-08-12T16:12:07.691458
USD,bolsa,Bolsa,1526.08,1526.08,2026-08-12T13:00:00.000Z,0.1,2026-08-12T16:12:07.691458
USD,contadoconliqui,Contado con liquidación,1591.16,1591.16,2026-08-12T13:00:00.000Z,-1.2,2026-08-12T16:12:07.691458
USD,mayorista,Mayorista,1485.0,1494.0,2026-08-12T12:14:00.000Z,0.23,2026-08-12T16:12:07.691458
USD,cripto,Cripto,1582.88,1582.88,2026-08-12T13:00:00.000Z,0.01,2026-08-12T16:12:07.691458
USD,tarjeta,Tarjeta,1465.0,1969.5,2026-08-12T13:00:00.000Z,0.0,2026-08-12T16:12:07.691458
USD,bna,BNA,1465.0,1515.0,2026-08-12T13:00:00.000Z,0.0,2026-08-12T16:12:07.691458
USD,oficial,Oficial,1464.59,1515.59,2026-08-13T11:45:00.000Z,0.0,2026-08-13T16:12:21.715949
USD,blue,Blue,1520.0,1540.0,2026-08-13T13:00:00.000Z,0.33,2026-08-13T16:12:21.715949
USD,bolsa,Bolsa,1526.34,1526.34,2026-08-13T13:00:00.000Z,0.1,2026-08-13T16:12:21.715949
USD,contadoconliqui,Contado con liquidación,1584.41,1584.41,2026-08-13T13:00:00.000Z,0.0,2026-08-13T16:12:21.715949
USD,mayorista,Mayorista,1483.0,1492.0,2026-08-13T11:43:00.000Z,0.03,2026-08-13T16:12:21.715949
USD,cripto,Cripto,1581.87,1581.87,2026-08-13T13:00:00.000Z,0.0,2026-08-13T16:12:21.715949
USD,tarjeta,Tarjeta,1465.0,1969.5,2026-08-13T13:00:00.000Z,0.0,2026-08-13T16:12:21.715949
